,0
2019-09-28 00:00:00-04:00,7635409920
2019-10-03 00:00:00-04:00,7500599808
2019-10-04 00:00:00-04:00,7635409920
2019-10-05 00:00:00-04:00,7544079872
2019-10-08 00:00:00-04:00,7588630016
2019-10-09 00:00:00-04:00,7635409920
2019-10-10 00:00:00-04:00,7780049920
2019-10-11 00:00:00-04:00,7635409920
2019-10-17 00:00:00-04:00,7635409920
2019-10-17 00:00:00-04:00,7572579840
2019-10-22 00:00:00-04:00,7752470016
2019-10-23 00:00:00-04:00,7580839936
2019-10-24 00:00:00-04:00,7744450048
2019-10-25 00:00:00-04:00,7628810240
2019-10-25 00:00:00-04:00,7778890240
2019-11-06 00:00:00-05:00,7566530048
2019-11-07 00:00:00-05:00,7584999936
2019-11-08 00:00:00-05:00,7624059904
2019-11-09 00:00:00-05:00,7613499904
2019-11-09 00:00:00-05:00,7628810240
2019-11-14 00:00:00-05:00,7641249792
2019-11-15 00:00:00-05:00,7628810240
2019-11-22 00:00:00-05:00,7635950080
2019-11-23 00:00:00-05:00,7628810240
2019-11-27 00:00:00-05:00,7669159936
2019-11-28 00:00:00-05:00,7628810240
2019-12-05 00:00:00-05:00,7656399872
2019-12-06 00:00:00-05:00,7628810240
2019-12-09 00:00:00-05:00,7721410048
2019-12-10 00:00:00-05:00,7628810240
2019-12-11 00:00:00-05:00,7617209856
2019-12-12 00:00:00-05:00,7628810240
2019-12-13 00:00:00-05:00,7706250240
2019-12-14 00:00:00-05:00,7628810240
2019-12-18 00:00:00-05:00,7587599872
2019-12-19 00:00:00-05:00,7628810240
2020-01-08 00:00:00-05:00,7725000192
2020-01-09 00:00:00-05:00,7609140224
2020-01-10 00:00:00-05:00,7679649792
2020-01-12 00:00:00-05:00,7628810240
2020-01-13 00:00:00-05:00,7724109824
2020-01-14 00:00:00-05:00,7628810240
2020-01-17 00:00:00-05:00,7768589824
2020-01-18 00:00:00-05:00,7628810240
2020-01-23 00:00:00-05:00,7592150016
2020-01-24 00:00:00-05:00,7628810240
2020-01-24 00:00:00-05:00,7675769856
2020-01-30 00:00:00-05:00,7511680000
2020-01-31 00:00:00-05:00,7606049792
2020-02-04 00:00:00-05:00,7425030144
2020-02-05 00:00:00-05:00,7606049792
