Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-13 00:00:00-04:00,118.13935664090857,119.51008390827177,117.12083214706566,117.4159164428711,33944900,0.0,0.0
2019-05-14 00:00:00-04:00,117.91090237162233,119.82420067474656,117.74907516046396,118.72953033447266,25266300,0.0,0.0
2019-05-15 00:00:00-04:00,118.7199703137974,121.06073612712261,118.1849325047633,120.40149688720703,24722700,0.46,0.0
2019-05-16 00:00:00-04:00,121.0989705701696,123.61171916112119,120.8218990724594,123.18177032470703,30112200,0.0,0.0
2019-05-17 00:00:00-04:00,122.5894131689979,124.64356612409075,122.21680154696558,122.36012268066406,25770500,0.0,0.0
2019-05-20 00:00:00-04:00,120.87921836238796,121.90151309990077,120.15310751522117,120.59259796142578,23706900,0.0,0.0
2019-05-21 00:00:00-04:00,121.74862532919816,121.84416544322237,120.93652342612725,121.24225616455078,15293300,0.0,0.0
2019-05-22 00:00:00-04:00,120.97477625514298,122.52255279557406,120.87922882397474,121.97795867919922,15396500,0.0,0.0
2019-05-23 00:00:00-04:00,120.57347217434135,120.6594633875542,119.17856596797729,120.55436706542969,23603800,0.0,0.0
2019-05-24 00:00:00-04:00,121.2518284924659,121.73908532558058,120.35373526483235,120.6116943359375,14123400,0.0,0.0
2019-05-28 00:00:00-04:00,121.31871909844473,122.29324014861112,120.43018198392018,120.5352783203125,23128400,0.0,0.0
2019-05-29 00:00:00-04:00,119.79004510019456,119.79960130035721,118.50979126970856,119.36966705322266,22763100,0.0,0.0
2019-05-30 00:00:00-04:00,119.6753964196304,120.1531043646194,119.21679358517328,120.12444305419922,16829600,0.0,0.0
2019-05-31 00:00:00-04:00,118.69129882563949,119.06391037556905,117.82186701630822,118.16581726074219,26646800,0.0,0.0
2019-06-03 00:00:00-04:00,118.32825177172026,118.82507209656657,113.70404254846544,114.49703216552734,37983600,0.0,0.0
2019-06-04 00:00:00-04:00,115.87283511246955,117.78366684529851,115.27092574075647,117.66902160644531,29382600,0.0,0.0
2019-06-05 00:00:00-04:00,119.37920014212342,120.25818820946543,118.67219449793537,120.219970703125,24926100,0.0,0.0
2019-06-06 00:00:00-04:00,120.8027902620707,122.26457544134793,120.00023710547549,122.12126159667969,21459000,0.0,0.0
2019-06-07 00:00:00-04:00,123.43018779827088,126.35375824630752,122.54164339198093,125.5416488647461,33885600,0.0,0.0
2019-06-10 00:00:00-04:00,126.49705366430028,128.10215988524124,126.1148931528086,126.68814849853516,26477100,0.0,0.0
2019-06-11 00:00:00-04:00,127.91108066266126,128.25503095717755,125.4269935824337,126.21044158935547,23913700,0.0,0.0
2019-06-12 00:00:00-04:00,125.54164126134027,126.08623531261384,124.88241654765201,125.62763977050781,17092500,0.0,0.0
2019-06-13 00:00:00-04:00,126.09578655204213,127.07031485319412,125.69451362297713,126.42063903808594,17200800,0.0,0.0
2019-06-14 00:00:00-04:00,126.36329897260492,127.82508410193985,125.77094579244,126.54483032226562,17821700,0.0,0.0
2019-06-17 00:00:00-04:00,126.71677883206131,127.76772727100365,126.62123143830043,126.92697143554688,14517800,0.0,0.0
2019-06-18 00:00:00-04:00,128.20724819571714,129.21043769876343,127.6148950663989,129.13400268554688,25934500,0.0,0.0
2019-06-19 00:00:00-04:00,128.9811112185665,129.86964076484347,127.84416427600807,129.64035034179688,23744400,0.0,0.0
2019-06-20 00:00:00-04:00,131.3219310397598,131.52257482156168,129.6690653818834,130.84422302246094,33042600,0.0,0.0
2019-06-21 00:00:00-04:00,130.49070016458563,131.58942257434862,130.3760549262769,130.86331176757812,36727900,0.0,0.0
2019-06-24 00:00:00-04:00,130.8919989368241,132.22957557631457,130.8919989368241,131.63722229003906,20628800,0.0,0.0
2019-06-25 00:00:00-04:00,131.13082027974716,131.45565815719493,126.81233672480533,127.48112487792969,33327400,0.0,0.0
2019-06-26 00:00:00-04:00,128.36011160102447,129.6881389078722,127.64354978988028,127.95882415771484,23657700,0.0,0.0
2019-06-27 00:00:00-04:00,128.15948795451214,128.7040820139619,127.55757127374972,128.16903686523438,16557500,0.0,0.0
2019-06-28 00:00:00-04:00,128.57033024740542,128.59899155937165,127.223190271031,127.9875259399414,30043000,0.0,0.0
2019-07-01 00:00:00-04:00,130.53851640228538,130.60538795358892,128.9525220560217,129.630859375,22613500,0.0,0.0
2019-07-02 00:00:00-04:00,130.05122486949855,130.50027156825857,129.30600153506526,130.49072265625,15237800,0.0,0.0
2019-07-03 00:00:00-04:00,130.7008887268784,131.59898194147246,130.2136173223496,131.3314666748047,13629300,0.0,0.0
